name,data_type,bit_length
ENG_LO_HDR_SCID,uint,8
ENG_LO_HDR_FILL1,uint,1
ENG_LO_HDR_FLASH_BLOCK,uint,15
ENG_LO_HDR_FILL2,uint,2
ENG_LO_HDR_TIME_QUALITY,uint,2
ENG_LO_HDR_USEC,uint,20
ENG_LO_HDR_SEC,uint,32
RTS1_N_COMMANDS,uint,8
RTS2_N_COMMANDS,uint,8
RTS3_N_COMMANDS,uint,8
RTS4_N_COMMANDS,uint,8
RTS5_N_COMMANDS,uint,8
RTS6_N_COMMANDS,uint,8
RTS7_N_COMMANDS,uint,8
RTS8_N_COMMANDS,uint,8
RTS9_N_COMMANDS,uint,8
RTS10_N_COMMANDS,uint,8
RTS11_N_COMMANDS,uint,8
RTS12_N_COMMANDS,uint,8
RTS13_N_COMMANDS,uint,8
RTS14_N_COMMANDS,uint,8
RTS15_N_COMMANDS,uint,8
RTS16_N_COMMANDS,uint,8
RTS17_N_COMMANDS,uint,8
RTS18_N_COMMANDS,uint,8
RTS19_N_COMMANDS,uint,8
RTS20_N_COMMANDS,uint,8
RTS21_N_COMMANDS,uint,8
RTS22_N_COMMANDS,uint,8
RTS23_N_COMMANDS,uint,8
RTS24_N_COMMANDS,uint,8
RTS25_N_COMMANDS,uint,8
RTS26_N_COMMANDS,uint,8
RTS27_N_COMMANDS,uint,8
RTS28_N_COMMANDS,uint,8
RTS29_N_COMMANDS,uint,8
RTS30_N_COMMANDS,uint,8
RTS31_N_COMMANDS,uint,8
RTS32_N_COMMANDS,uint,8
RTS33_N_COMMANDS,uint,8
RTS34_N_COMMANDS,uint,8
RTS35_N_COMMANDS,uint,8
RTS36_N_COMMANDS,uint,8
RTS37_N_COMMANDS,uint,8
RTS38_N_COMMANDS,uint,8
RTS39_N_COMMANDS,uint,8
RTS40_N_COMMANDS,uint,8
RTS41_N_COMMANDS,uint,8
RTS42_N_COMMANDS,uint,8
RTS43_N_COMMANDS,uint,8
RTS44_N_COMMANDS,uint,8
RTS45_N_COMMANDS,uint,8
RTS46_N_COMMANDS,uint,8
RTS47_N_COMMANDS,uint,8
RTS48_N_COMMANDS,uint,8
RTS49_N_COMMANDS,uint,8
