name,data_type,bit_length
ENG_SSV_HDR_SCID,uint,8
ENG_SSV_HDR_FILL1,uint,1
ENG_SSV_HDR_FLASH_BLOCK,uint,15
ENG_SSV_HDR_FILL2,uint,2
ENG_SSV_HDR_TIME_QUALITY,uint,2
ENG_SSV_HDR_USEC,uint,20
ENG_SSV_HDR_SEC,uint,32
CRIT_OBS_MODE,uint,16
CRIT_OBS_PREV_MODE,uint,16
CRIT_OBS_MODE_CHG_TIME_SEC,uint,32
CRIT_OBS_MODE_CHG_TIME_SUBSEC,uint,20
CRIT_OBS_MODE_CHG_TIME_RESERVED,uint,12
CRIT_SPARC_TRAP_NUM,uint,32
CRIT_SPARC_AHB_FAILING_ADDR,uint,32
CRIT_SPARC_AHB_STAT,uint,32
CRIT_SPARC_STACKFRAME_VALID,uint,8
CRIT_LAST_RESET_TIME_SEC,uint,32
CRIT_LAST_RESET_TIME_SUBSEC,uint,20
CRIT_LAST_RESET_TIME_RESERVED,uint,12
CRIT_LAST_ERREVT1,uint,32
CRIT_LAST_ERREVT2,uint,32
CRIT_LAST_ERREVT3,uint,32
CRIT_LAST_ERREVT4,uint,32
CRIT_LAST_ERREVT5,uint,32
CRIT_ERREVT_IDX,uint,32
CRIT_FSW_LAST_REASON_FOR_RESET,uint,32
CRIT_FPGA_LAST_RESET_REG,uint,32
CRIT_SA_STATUS,uint,8
CRIT_IDOOR_STATUS,uint,8
CRIT_ATS_RUNNING_MASK,uint,8
CRIT_SSV_CHECKSUM,uint,32
AUT_CSC_N_CMD_RUN,uint,32
AUT_CSC_N_CMD_FAIL,uint,32
AUT_CSC_TLM_TIME_SEC,uint,32
AUT_CSC_TLM_TIME_USEC,uint,20
AUT_CSC_TLM_TIME_RESERVED,uint,12
TLM_CSC_TST_ADDR,uint,32
TLM_CSC_N_CMD_RUN,uint,32
TLM_CSC_N_CMD_FAIL,uint,32
TLM_CSC_TLM_TIME_SEC,uint,32
TLM_CSC_TLM_TIME_USEC,uint,20
TLM_CSC_TLM_TIME_RESERVED,uint,12
INST_CSC_N_CMD_RUN,uint,32
INST_CSC_N_CMD_FAIL,uint,32
INST_CSC_TLM_TIME_SEC,uint,32
INST_CSC_TLM_TIME_USEC,uint,20
INST_CSC_TLM_TIME_RESERVED,uint,12
