name,data_type,bit_length
ENG_PFW_HDR_SCID,uint,8
ENG_PFW_HDR_FILL1,uint,1
ENG_PFW_HDR_FLASH_BLOCK,uint,15
ENG_PFW_HDR_FILL2,uint,2
ENG_PFW_HDR_TIME_QUALITY,uint,2
ENG_PFW_HDR_USEC,uint,20
ENG_PFW_HDR_SEC,uint,32
PFW_STATUS,uint,32
STEP_CALC,uint,16
LAST_CMD_N_STEPS,uint,16
POSITION_CURR,uint,8
POSITION_CMD,uint,8
RESOLVER_POS_RAW,uint,16
RESOLVER_POS_CORR,uint,16
RESOLVER_READ_CNT,uint,32
LAST_MOVE_N_STEPS,uint,16
LAST_MOVE_EXECUTION_TIME,uint,32
LIFETIME_STEPS_TAKEN,uint,32
LIFETIME_EXECUTION_TIME,uint,32
FSM_CTRL_STATE,uint,8
READ_SUB_STATE,uint,8
MOVE_SUB_STATE,uint,8
HOME_SUB_STATE,uint,8
HOME_POSITION,uint,8
RESOLVER_SELECT,uint,8
RESOLVER_TOLERANCE_HOME,uint,8
RESOLVER_TOLERANCE_CURR,uint,8
STEPPER_SELECT,uint,8
STEPPER_RATE_DELAY,uint,16
STEPPER_RATE,uint,32
SHORT_MOVE_SETTLING_TIME_MS,uint,16
LONG_MOVE_SETTLING_TIME_MS,uint,16
PRIMARY_STEP_OFFSET_1,uint,16
PRIMARY_STEP_OFFSET_2,uint,16
PRIMARY_STEP_OFFSET_3,uint,16
PRIMARY_STEP_OFFSET_4,uint,16
PRIMARY_STEP_OFFSET_5,uint,16
REDUNDANT_STEP_OFFSET_1,uint,16
REDUNDANT_STEP_OFFSET_2,uint,16
REDUNDANT_STEP_OFFSET_3,uint,16
REDUNDANT_STEP_OFFSET_4,uint,16
REDUNDANT_STEP_OFFSET_5,uint,16
PRIMARY_RESOLVER_POSITION_1,uint,16
PRIMARY_RESOLVER_POSITION_2,uint,16
PRIMARY_RESOLVER_POSITION_3,uint,16
PRIMARY_RESOLVER_POSITION_4,uint,16
PRIMARY_RESOLVER_POSITION_5,uint,16
REDUNDANT_RESOLVER_POSITION_1,uint,16
REDUNDANT_RESOLVER_POSITION_2,uint,16
REDUNDANT_RESOLVER_POSITION_3,uint,16
REDUNDANT_RESOLVER_POSITION_4,uint,16
REDUNDANT_RESOLVER_POSITION_5,uint,16
ENG_PFW_PADDING,uint,24
ENG_PFW_CKSUM,uint,16
