name,data_type,bit_length
ENG_FDC_HDR_SCID,uint,8
ENG_FDC_HDR_FILL1,uint,1
ENG_FDC_HDR_FLASH_BLOCK,uint,15
ENG_FDC_HDR_FILL2,uint,2
ENG_FDC_HDR_TIME_QUALITY,uint,2
ENG_FDC_HDR_USEC,uint,20
ENG_FDC_HDR_SEC,uint,32
SDRAM_SBE_CNT,uint,8
SDRAM_SBE_ADDR,uint,32
SDRAM_MBE_CNT,uint,8
SDRAM_MBE_ADDR,uint,32
UNKNOWN_SBE_CNT,uint,8
UNKNOWN_SBE_ADDR,uint,32
UNKNOWN_MBE_CNT,uint,8
UNKNOWN_MBE_ADDR,uint,32
S1_FAULT_01_ENABLED,uint,1
S1_FAULT_02_ENABLED,uint,1
S1_FAULT_03_ENABLED,uint,1
S1_FAULT_04_ENABLED,uint,1
S1_FAULT_05_ENABLED,uint,1
S1_FAULT_06_ENABLED,uint,1
S1_FAULT_07_ENABLED,uint,1
S1_FAULT_08_ENABLED,uint,1
S1_FAULT_09_ENABLED,uint,1
S1_FAULT_10_ENABLED,uint,1
S1_FAULT_11_ENABLED,uint,1
S1_FAULT_12_ENABLED,uint,1
S1_FAULT_13_ENABLED,uint,1
S1_FAULT_14_ENABLED,uint,1
S1_FAULT_15_ENABLED,uint,1
S1_FAULT_16_ENABLED,uint,1
S1_FAULT_17_ENABLED,uint,1
S1_FAULT_18_ENABLED,uint,1
S1_FAULT_19_ENABLED,uint,1
S1_FAULT_20_ENABLED,uint,1
S1_FAULT_21_ENABLED,uint,1
S1_FAULT_22_ENABLED,uint,1
S1_FAULT_23_ENABLED,uint,1
S1_FAULT_24_ENABLED,uint,1
S1_FAULT_25_ENABLED,uint,1
S1_FAULT_26_ENABLED,uint,1
S1_FAULT_27_ENABLED,uint,1
S1_FAULT_28_ENABLED,uint,1
S1_FAULT_29_ENABLED,uint,1
S1_FAULT_30_ENABLED,uint,1
S1_FAULT_31_ENABLED,uint,1
S1_FAULT_32_ENABLED,uint,1
S1_FAULT_33_ENABLED,uint,1
S1_FAULT_34_ENABLED,uint,1
S1_FAULT_35_ENABLED,uint,1
S1_FAULT_36_ENABLED,uint,1
S1_FAULT_37_ENABLED,uint,1
S1_FAULT_38_ENABLED,uint,1
S1_FAULT_39_ENABLED,uint,1
S1_FAULT_40_ENABLED,uint,1
S1_FAULT_41_ENABLED,uint,1
S1_FAULT_42_ENABLED,uint,1
S1_FAULT_43_ENABLED,uint,1
S1_FAULT_44_ENABLED,uint,1
S1_FAULT_45_ENABLED,uint,1
S1_FAULT_46_ENABLED,uint,1
S1_FAULT_47_ENABLED,uint,1
S1_FAULT_48_ENABLED,uint,1
S1_FAULT_49_ENABLED,uint,1
S1_FAULT_50_ENABLED,uint,1
S1_FAULT_51_ENABLED,uint,1
S1_FAULT_52_ENABLED,uint,1
S1_FAULT_53_ENABLED,uint,1
S1_FAULT_54_ENABLED,uint,1
S1_FAULT_55_ENABLED,uint,1
S1_FAULT_56_ENABLED,uint,1
S1_FAULT_57_ENABLED,uint,1
S1_FAULT_58_ENABLED,uint,1
S1_FAULT_59_ENABLED,uint,1
S1_FAULT_60_ENABLED,uint,1
S1_FAULT_61_ENABLED,uint,1
S1_FAULT_62_ENABLED,uint,1
S1_FAULT_63_ENABLED,uint,1
S1_FAULT_64_ENABLED,uint,1
S1_FAULT_65_ENABLED,uint,1
S1_FAULT_66_ENABLED,uint,1
S1_FAULT_67_ENABLED,uint,1
S1_FAULT_68_ENABLED,uint,1
S1_FAULT_69_ENABLED,uint,1
S1_FAULT_70_ENABLED,uint,1
S1_FAULT_71_ENABLED,uint,1
S1_FAULT_72_ENABLED,uint,1
S1_FAULT_73_ENABLED,uint,1
S1_FAULT_74_ENABLED,uint,1
S1_FAULT_75_ENABLED,uint,1
S1_FAULT_76_ENABLED,uint,1
S1_FAULT_77_ENABLED,uint,1
S1_FAULT_78_ENABLED,uint,1
S1_FAULT_79_ENABLED,uint,1
S1_FAULT_80_ENABLED,uint,1
S1_FAULT_81_ENABLED,uint,1
S1_FAULT_82_ENABLED,uint,1
S1_FAULT_83_ENABLED,uint,1
S1_FAULT_84_ENABLED,uint,1
S1_FAULT_85_ENABLED,uint,1
S1_FAULT_86_ENABLED,uint,1
S1_FAULT_87_ENABLED,uint,1
S1_FAULT_88_ENABLED,uint,1
S1_FAULT_89_ENABLED,uint,1
S1_FAULT_90_ENABLED,uint,1
S1_FAULT_91_ENABLED,uint,1
S1_FAULT_92_ENABLED,uint,1
S1_FAULT_93_ENABLED,uint,1
S1_FAULT_94_ENABLED,uint,1
S1_FAULT_95_ENABLED,uint,1
S1_FAULT_96_ENABLED,uint,1
S1_FAULT_97_ENABLED,uint,1
S1_FAULT_98_ENABLED,uint,1
S1_FAULT_99_ENABLED,uint,1
S1_FAULT_100_ENABLED,uint,1
S2_FAULT_01_ENABLED,uint,1
S2_FAULT_02_ENABLED,uint,1
S2_FAULT_03_ENABLED,uint,1
S2_FAULT_04_ENABLED,uint,1
S2_FAULT_05_ENABLED,uint,1
S2_FAULT_06_ENABLED,uint,1
S2_FAULT_07_ENABLED,uint,1
S2_FAULT_08_ENABLED,uint,1
S2_FAULT_09_ENABLED,uint,1
S2_FAULT_10_ENABLED,uint,1
FAULT_UNUSED_ENABLED,uint,18
S1_FAULT_01_TRIPPED,uint,1
S1_FAULT_02_TRIPPED,uint,1
S1_FAULT_03_TRIPPED,uint,1
S1_FAULT_04_TRIPPED,uint,1
S1_FAULT_05_TRIPPED,uint,1
S1_FAULT_06_TRIPPED,uint,1
S1_FAULT_07_TRIPPED,uint,1
S1_FAULT_08_TRIPPED,uint,1
S1_FAULT_09_TRIPPED,uint,1
S1_FAULT_10_TRIPPED,uint,1
S1_FAULT_11_TRIPPED,uint,1
S1_FAULT_12_TRIPPED,uint,1
S1_FAULT_13_TRIPPED,uint,1
S1_FAULT_14_TRIPPED,uint,1
S1_FAULT_15_TRIPPED,uint,1
S1_FAULT_16_TRIPPED,uint,1
S1_FAULT_17_TRIPPED,uint,1
S1_FAULT_18_TRIPPED,uint,1
S1_FAULT_19_TRIPPED,uint,1
S1_FAULT_20_TRIPPED,uint,1
S1_FAULT_21_TRIPPED,uint,1
S1_FAULT_22_TRIPPED,uint,1
S1_FAULT_23_TRIPPED,uint,1
S1_FAULT_24_TRIPPED,uint,1
S1_FAULT_25_TRIPPED,uint,1
S1_FAULT_26_TRIPPED,uint,1
S1_FAULT_27_TRIPPED,uint,1
S1_FAULT_28_TRIPPED,uint,1
S1_FAULT_29_TRIPPED,uint,1
S1_FAULT_30_TRIPPED,uint,1
S1_FAULT_31_TRIPPED,uint,1
S1_FAULT_32_TRIPPED,uint,1
S1_FAULT_33_TRIPPED,uint,1
S1_FAULT_34_TRIPPED,uint,1
S1_FAULT_35_TRIPPED,uint,1
S1_FAULT_36_TRIPPED,uint,1
S1_FAULT_37_TRIPPED,uint,1
S1_FAULT_38_TRIPPED,uint,1
S1_FAULT_39_TRIPPED,uint,1
S1_FAULT_40_TRIPPED,uint,1
S1_FAULT_41_TRIPPED,uint,1
S1_FAULT_42_TRIPPED,uint,1
S1_FAULT_43_TRIPPED,uint,1
S1_FAULT_44_TRIPPED,uint,1
S1_FAULT_45_TRIPPED,uint,1
S1_FAULT_46_TRIPPED,uint,1
S1_FAULT_47_TRIPPED,uint,1
S1_FAULT_48_TRIPPED,uint,1
S1_FAULT_49_TRIPPED,uint,1
S1_FAULT_50_TRIPPED,uint,1
S1_FAULT_51_TRIPPED,uint,1
S1_FAULT_52_TRIPPED,uint,1
S1_FAULT_53_TRIPPED,uint,1
S1_FAULT_54_TRIPPED,uint,1
S1_FAULT_55_TRIPPED,uint,1
S1_FAULT_56_TRIPPED,uint,1
S1_FAULT_57_TRIPPED,uint,1
S1_FAULT_58_TRIPPED,uint,1
S1_FAULT_59_TRIPPED,uint,1
S1_FAULT_60_TRIPPED,uint,1
S1_FAULT_61_TRIPPED,uint,1
S1_FAULT_62_TRIPPED,uint,1
S1_FAULT_63_TRIPPED,uint,1
S1_FAULT_64_TRIPPED,uint,1
S1_FAULT_65_TRIPPED,uint,1
S1_FAULT_66_TRIPPED,uint,1
S1_FAULT_67_TRIPPED,uint,1
S1_FAULT_68_TRIPPED,uint,1
S1_FAULT_69_TRIPPED,uint,1
S1_FAULT_70_TRIPPED,uint,1
S1_FAULT_71_TRIPPED,uint,1
S1_FAULT_72_TRIPPED,uint,1
S1_FAULT_73_TRIPPED,uint,1
S1_FAULT_74_TRIPPED,uint,1
S1_FAULT_75_TRIPPED,uint,1
S1_FAULT_76_TRIPPED,uint,1
S1_FAULT_77_TRIPPED,uint,1
