name,data_type,bit_length
ENG_STM_DIAG_HDR_SCID,uint,8
ENG_STM_DIAG_HDR_FILL1,uint,1
ENG_STM_DIAG_HDR_FLASH_BLOCK,uint,15
ENG_STM_DIAG_HDR_FILL2,uint,2
ENG_STM_DIAG_HDR_TIME_QUALITY,uint,2
ENG_STM_DIAG_HDR_USEC,uint,20
ENG_STM_DIAG_HDR_SEC,uint,32
CDH_INFO,uint,8
X123_INDICATOR,uint,8
FPGA,uint,8
SRAM_ERR_ADDR,uint,24
DP5_BRD_TEMP,uint,16
POWER_IN,uint,16
SUPPLY_3V3,uint,16
SUPPLY_2V5,uint,16
SUPPLY_1V2,uint,16
MON_5V5,uint,16
NEG_5V5,uint,16
HV_MON,uint,16
DET_TEMP,uint,16
TEC_SUPPLY,uint,16
DCAL,uint,16
HV_POL,uint,8
PA_SUPPLY,uint,8
PC5_SUPPLIES,uint,8
BOOT_RECORD,uint,1536
FLASH_CONFIG_TIME,uint,8
SPARE,uint,16
ENG_STM_DIAG_CKSUM,uint,16
