name,data_type,bit_length
ENG_CEB_HDR_SCID,uint,8
ENG_CEB_HDR_FILL1,uint,1
ENG_CEB_HDR_FLASH_BLOCK,uint,15
ENG_CEB_HDR_FILL2,uint,2
ENG_CEB_HDR_TIME_QUALITY,uint,2
ENG_CEB_HDR_USEC,uint,20
ENG_CEB_HDR_SEC,uint,32
CEB_STATUS_REG,uint,16
WGS_STATUS,uint,16
VIDEO_FIFO_STATUS,uint,16
PTR_TBL_ERROR_ADDR,uint,16
WAVE_ERROR_ADDR,uint,16
PTR_BIT_ERROR_COUNTS,uint,16
TBL_BIT_ERROR_COUNTS,uint,16
WAVE_BIT_ERROR_COUNTS,uint,16
HEADBOARD_JFET_DRAIN_BIAS,uint,16
CCD_OUTPUT_DRAIN_BIAS,uint,16
CCD_DUMP_DRAIN_BIAS,uint,16
CCD_RESET_DRAIN_BIAS,uint,16
CCD_TOP_GATE_BIAS,uint,16
CCD_OUTPUT_GATE_BIAS,uint,16
VREF_P2_5V1,uint,16
GROUND1,uint,16
DCDC_CONV_P30V_OUT,uint,16
DCDC_CONV_P15V_OUT,uint,16
DCDC_CONV_P5V_OUT,uint,16
VREF_BIAS,uint,16
CEB_TEMP_MON,uint,16
CCD_TEMP_MON,uint,16
VREF_P2_5V2,uint,16
GROUND2,uint,16
IPF_SBE_CNT,uint,16
IPF_MBE_CNT,uint,16
ENG_CEB_PADDING,uint,16
ENG_CEB_CKSUM,uint,16
