name,data_type,bit_length
ENG_BOOT_HDR_SCID,uint,8
ENG_BOOT_HDR_FILL1,uint,1
ENG_BOOT_HDR_FLASH_BLOCK,uint,15
ENG_BOOT_HDR_FILL2,uint,2
ENG_BOOT_HDR_TIME_QUALITY,uint,2
ENG_BOOT_HDR_USEC,uint,20
ENG_BOOT_HDR_SEC,uint,32
BOOT_COUNT,uint,32
E1_I1_INFO_ADDR,uint,32
E1_I1_INFO_VERSION,uint,32
E1_I1_INFO_DATE,uint,32
E1_I1_INFO_TIME,uint,32
E1_I1_INFO_EXP_CKSUM,uint,32
E1_I1_INFO_COMP_CKSUM,uint,32
E1_I1_INFO_FLAGS,uint,32
E1_I1_INFO_BOOT_STATUS,uint,32
E1_I2_INFO_ADDR,uint,32
E1_I2_INFO_VERSION,uint,32
E1_I2_INFO_DATE,uint,32
E1_I2_INFO_TIME,uint,32
E1_I2_INFO_EXP_CKSUM,uint,32
E1_I2_INFO_COMP_CKSUM,uint,32
E1_I2_INFO_FLAGS,uint,32
E1_I2_INFO_BOOT_STATUS,uint,32
E1_I3_INFO_ADDR,uint,32
E1_I3_INFO_VERSION,uint,32
E1_I3_INFO_DATE,uint,32
E1_I3_INFO_TIME,uint,32
E1_I3_INFO_EXP_CKSUM,uint,32
E1_I3_INFO_COMP_CKSUM,uint,32
E1_I3_INFO_FLAGS,uint,32
E1_I3_INFO_BOOT_STATUS,uint,32
E1_I4_INFO_ADDR,uint,32
E1_I4_INFO_VERSION,uint,32
E1_I4_INFO_DATE,uint,32
E1_I4_INFO_TIME,uint,32
E1_I4_INFO_EXP_CKSUM,uint,32
E1_I4_INFO_COMP_CKSUM,uint,32
E1_I4_INFO_FLAGS,uint,32
E1_I4_INFO_BOOT_STATUS,uint,32
E1_ADDR,uint,32
E1_TIME_SECONDS,uint,32
E1_TIME_USECS,uint,20
E1_TIME_UNUSED,uint,12
E1_RESET_REASON,uint,32
E1_BYPASS_VAL,uint,32
E1_BIST_ABUS_FAIL_MSK,uint,32
E1_BIST_DBUS_FAIL_MSK,uint,32
E1_BIST_SDRAM_FAIL_FIRST,uint,32
E1_BIST_SDRAM_FAIL_LAST,uint,32
E1_BIST_SDRAM_FAIL_MAP,uint,32
E1_BIST_SDRAM_FAIL_COUNT,uint,32
E1_BIST_TEST_STATUS,uint,32
E2_I1_INFO_ADDR,uint,32
E2_I1_INFO_VERSION,uint,32
E2_I1_INFO_DATE,uint,32
E2_I1_INFO_TIME,uint,32
E2_I1_INFO_EXP_CKSUM,uint,32
E2_I1_INFO_COMP_CKSUM,uint,32
E2_I1_INFO_FLAGS,uint,32
E2_I1_INFO_BOOT_STATUS,uint,32
E2_I2_INFO_ADDR,uint,32
E2_I2_INFO_VERSION,uint,32
E2_I2_INFO_DATE,uint,32
E2_I2_INFO_TIME,uint,32
E2_I2_INFO_EXP_CKSUM,uint,32
E2_I2_INFO_COMP_CKSUM,uint,32
E2_I2_INFO_FLAGS,uint,32
E2_I2_INFO_BOOT_STATUS,uint,32
E2_I3_INFO_ADDR,uint,32
E2_I3_INFO_VERSION,uint,32
E2_I3_INFO_DATE,uint,32
E2_I3_INFO_TIME,uint,32
E2_I3_INFO_EXP_CKSUM,uint,32
E2_I3_INFO_COMP_CKSUM,uint,32
E2_I3_INFO_FLAGS,uint,32
E2_I3_INFO_BOOT_STATUS,uint,32
E2_I4_INFO_ADDR,uint,32
E2_I4_INFO_VERSION,uint,32
E2_I4_INFO_DATE,uint,32
E2_I4_INFO_TIME,uint,32
E2_I4_INFO_EXP_CKSUM,uint,32
