name,data_type,bit_length
ENG_EVT_HDR_SCID,uint,8
ENG_EVT_HDR_FILL1,uint,1
ENG_EVT_HDR_FLASH_BLOCK,uint,15
ENG_EVT_HDR_FILL2,uint,2
ENG_EVT_HDR_TIME_QUALITY,uint,2
ENG_EVT_HDR_USEC,uint,20
ENG_EVT_HDR_SEC,uint,32
FSW_CODE_1   ,uint,32
FSW_CODE_1_COUNT,uint,32
FSW_CODE_1_ARG1,uint,32
FSW_CODE_1_ARG2,uint,32
FSW_CODE_2   ,uint,32
FSW_CODE_2_COUNT,uint,32
FSW_CODE_2_ARG1,uint,32
FSW_CODE_2_ARG2,uint,32
FSW_CODE_3   ,uint,32
FSW_CODE_3_COUNT,uint,32
FSW_CODE_3_ARG1,uint,32
FSW_CODE_3_ARG2,uint,32
FSW_CODE_4   ,uint,32
FSW_CODE_4_COUNT,uint,32
FSW_CODE_4_ARG1,uint,32
FSW_CODE_4_ARG2,uint,32
FSW_CODE_5   ,uint,32
FSW_CODE_5_COUNT,uint,32
FSW_CODE_5_ARG1,uint,32
FSW_CODE_5_ARG2,uint,32
FSW_CODE_6   ,uint,32
FSW_CODE_6_COUNT,uint,32
FSW_CODE_6_ARG1,uint,32
FSW_CODE_6_ARG2,uint,32
FSW_CODE_7   ,uint,32
FSW_CODE_7_COUNT,uint,32
FSW_CODE_7_ARG1,uint,32
FSW_CODE_7_ARG2,uint,32
FSW_CODE_8   ,uint,32
FSW_CODE_8_COUNT,uint,32
FSW_CODE_8_ARG1,uint,32
FSW_CODE_8_ARG2,uint,32
FSW_CODE_9   ,uint,32
FSW_CODE_9_COUNT,uint,32
FSW_CODE_9_ARG1,uint,32
FSW_CODE_9_ARG2,uint,32
FSW_CODE_10  ,uint,32
FSW_CODE_10_COUNT,uint,32
FSW_CODE_10_ARG1,uint,32
FSW_CODE_10_ARG2,uint,32
FSW_CODE_11  ,uint,32
FSW_CODE_11_COUNT,uint,32
FSW_CODE_11_ARG1,uint,32
FSW_CODE_11_ARG2,uint,32
FSW_CODE_12  ,uint,32
FSW_CODE_12_COUNT,uint,32
FSW_CODE_12_ARG1,uint,32
FSW_CODE_12_ARG2,uint,32
FSW_CODE_13  ,uint,32
FSW_CODE_13_COUNT,uint,32
FSW_CODE_13_ARG1,uint,32
FSW_CODE_13_ARG2,uint,32
FSW_CODE_14  ,uint,32
FSW_CODE_14_COUNT,uint,32
FSW_CODE_14_ARG1,uint,32
FSW_CODE_14_ARG2,uint,32
FSW_CODE_15  ,uint,32
FSW_CODE_15_COUNT,uint,32
FSW_CODE_15_ARG1,uint,32
FSW_CODE_15_ARG2,uint,32
FSW_CODE_16  ,uint,32
FSW_CODE_16_COUNT,uint,32
FSW_CODE_16_ARG1,uint,32
FSW_CODE_16_ARG2,uint,32
FSW_CODE_17  ,uint,32
FSW_CODE_17_COUNT,uint,32
FSW_CODE_17_ARG1,uint,32
FSW_CODE_17_ARG2,uint,32
FSW_CODE_18  ,uint,32
FSW_CODE_18_COUNT,uint,32
FSW_CODE_18_ARG1,uint,32
FSW_CODE_18_ARG2,uint,32
FSW_CODE_19  ,uint,32
FSW_CODE_19_COUNT,uint,32
FSW_CODE_19_ARG1,uint,32
FSW_CODE_19_ARG2,uint,32
FSW_CODE_20  ,uint,32
FSW_CODE_20_COUNT,uint,32
FSW_CODE_20_ARG1,uint,32
FSW_CODE_20_ARG2,uint,32
FSW_CODE_21  ,uint,32
FSW_CODE_21_COUNT,uint,32
FSW_CODE_21_ARG1,uint,32
FSW_CODE_21_ARG2,uint,32
FSW_CODE_22  ,uint,32
FSW_CODE_22_COUNT,uint,32
FSW_CODE_22_ARG1,uint,32
FSW_CODE_22_ARG2,uint,32
FSW_CODE_23  ,uint,32
FSW_CODE_23_COUNT,uint,32
FSW_CODE_23_ARG1,uint,32
FSW_CODE_23_ARG2,uint,32
FSW_CODE_24  ,uint,32
FSW_CODE_24_COUNT,uint,32
FSW_CODE_24_ARG1,uint,32
FSW_CODE_24_ARG2,uint,32
FSW_CODE_25  ,uint,32
FSW_CODE_25_COUNT,uint,32
FSW_CODE_25_ARG1,uint,32
FSW_CODE_25_ARG2,uint,32
FSW_CODE_26  ,uint,32
FSW_CODE_26_COUNT,uint,32
FSW_CODE_26_ARG1,uint,32
FSW_CODE_26_ARG2,uint,32
FSW_CODE_27  ,uint,32
FSW_CODE_27_COUNT,uint,32
FSW_CODE_27_ARG1,uint,32
FSW_CODE_27_ARG2,uint,32
FSW_CODE_28  ,uint,32
FSW_CODE_28_COUNT,uint,32
FSW_CODE_28_ARG1,uint,32
FSW_CODE_28_ARG2,uint,32
FSW_CODE_29  ,uint,32
FSW_CODE_29_COUNT,uint,32
FSW_CODE_29_ARG1,uint,32
FSW_CODE_29_ARG2,uint,32
FSW_CODE_30,uint,32
FSW_CODE_30_COUNT,uint,32
FSW_CODE_30_ARG1,uint,32
FSW_CODE_30_ARG2,uint,32
FSW_CODE_31,uint,32
FSW_CODE_31_COUNT,uint,32
FSW_CODE_31_ARG1,uint,32
FSW_CODE_31_ARG2,uint,32
FSW_CODE_32  ,uint,32
FSW_CODE_32_COUNT,uint,32
FSW_CODE_32_ARG1,uint,32
FSW_CODE_32_ARG2,uint,32
FSW_CODE_33  ,uint,32
FSW_CODE_33_COUNT,uint,32
FSW_CODE_33_ARG1,uint,32
FSW_CODE_33_ARG2,uint,32
FSW_CODE_34  ,uint,32
FSW_CODE_34_COUNT,uint,32
