name,data_type,bit_length
ENG_LED_HDR_SCID,uint,8
ENG_LED_HDR_FILL1,uint,1
ENG_LED_HDR_FLASH_BLOCK,uint,15
ENG_LED_HDR_FILL2,uint,2
ENG_LED_HDR_TIME_QUALITY,uint,2
ENG_LED_HDR_USEC,uint,20
ENG_LED_HDR_SEC,uint,32
LED1_ACTIVE_STATE,uint,1
LED_CFG_NUM_PLS,uint,7
LED2_ACTIVE_STATE,uint,1
LED_CFG_PLS_DLY,uint,7
LED_CFG_PLS_WIDTH,uint,16
LED1_AVG_CURRENT,fill,4064
LED2_AVG_CURRENT,fill,4064
LED_SAMPLE_COUNT,fill,1016
LED_PLS_START_SEC,uint,32
LED_PLS_START_USEC,uint,20
LED_PLS_START_RSVD,uint,12
LED_PLS_END_SEC,uint,32
LED_PLS_END_USEC,uint,20
LED_PLS_END_RSVD,uint,12
ENG_LED_PADDING,uint,24
ENG_LED_CKSUM,uint,16
