name,data_type,bit_length
ENG_HI_HDR_SCID,uint,8
ENG_HI_HDR_FILL1,uint,1
ENG_HI_HDR_FLASH_BLOCK,uint,15
ENG_HI_HDR_FILL2,uint,2
ENG_HI_HDR_TIME_QUALITY,uint,2
ENG_HI_HDR_USEC,uint,20
ENG_HI_HDR_SEC,uint,32
OBS_MODE,uint,16
OBS_PREV_MODE,uint,16
OBS_PTG_CONFIG,uint,3
OBS_PREV_PTG_CONFIG,uint,3
OBS_MODE_SPARE1,uint,10
OBS_MODE_CHG_TIME_SEC,uint,32
OBS_MODE_CHG_TIME_USEC,uint,20
OBS_MODE_CHG_TIME_RESERVED,uint,12
SPARE3,uint,32
SPARE4,uint,32
SPARE5,uint,32
SPARE6,uint,32
FSW_STAT_THERM,uint,1
FSW_STAT_FLASHEN,uint,1
FSW_STAT_FLASHERASEARM,uint,1
FSW_STAT_UPLDINPROG,uint,1
FSW_STAT_PBACKINPROG,uint,1
FSW_STAT_COMP_UPLDINPROG,uint,1
FSW_STAT_IDOOR_DEPLY,uint,2
FSW_STAT_SA_DEPLY,uint,2
FSW_STAT_XACT,uint,1
FSW_STAT_XTS,uint,1
FSW_STAT_HYD,uint,1
FSW_STAT_SPARE2,uint,3
FSW_STAT_PROP_SM,uint,16
FSW_CMD_ACC_PASS,uint,8
FSW_CMD_ACC_CUM,uint,16
FSW_CMD_REJ_PASS,uint,8
FSW_CMD_REJ_CUM,uint,16
FSW_CMD_ECHO_APID1,uint,16
FSW_CMD_ECHO_APID2,uint,16
FSW_CMD_ECHO_APID3,uint,16
FSW_CMD_ECHO_APID4,uint,16
FSW_ATS_CMD_ACC,uint,16
FSW_RTS_CMD_ACC,uint,16
FSW_ATS_CMD_REJ,uint,8
FSW_RTS_CMD_REJ,uint,8
FSW_BOOT_CNT,uint,32
FSW_LAST_ERRNO,uint,32
FSW_TASK_STAT,uint,16
FSW_CMD_SWB_DEPTH,uint,8
FSW_TLM_SWB_DEPTH,uint,8
FSW_SCRUB_ADDR,uint,32
FSW_PBBLK_ENGST,uint,16
FSW_RECBLK_ENGST,uint,16
FSW_PBBLK_SCIST,uint,16
FSW_RECBLK_SCIST,uint,16
FSW_PBBLK_DIAGST,uint,16
FSW_RECBLK_DIAGST,uint,16
FSW_PBBLK_STMST,uint,16
FSW_RECBLK_STMST,uint,16
ENG_HI_PADDING,uint,32
ENG_HI_CKSUM,uint,16
