name,data_type,bit_length
ENG_SEQ_HDR_SCID,uint,8
ENG_SEQ_HDR_FILL1,uint,1
ENG_SEQ_HDR_FLASH_BLOCK,uint,15
ENG_SEQ_HDR_FILL2,uint,2
ENG_SEQ_HDR_TIME_QUALITY,uint,2
ENG_SEQ_HDR_USEC,uint,20
ENG_SEQ_HDR_SEC,uint,32
RTS62_ACTIVE,uint,1
RTS61_ACTIVE,uint,1
RTS60_ACTIVE,uint,1
RTS59_ACTIVE,uint,1
RTS58_ACTIVE,uint,1
RTS57_ACTIVE,uint,1
RTS56_ACTIVE,uint,1
RTS55_ACTIVE,uint,1
RTS54_ACTIVE,uint,1
RTS53_ACTIVE,uint,1
RTS52_ACTIVE,uint,1
RTS51_ACTIVE,uint,1
RTS50_ACTIVE,uint,1
RTS49_ACTIVE,uint,1
RTS48_ACTIVE,uint,1
RTS47_ACTIVE,uint,1
RTS46_ACTIVE,uint,1
RTS45_ACTIVE,uint,1
RTS44_ACTIVE,uint,1
RTS43_ACTIVE,uint,1
RTS42_ACTIVE,uint,1
RTS41_ACTIVE,uint,1
RTS40_ACTIVE,uint,1
RTS39_ACTIVE,uint,1
RTS38_ACTIVE,uint,1
RTS37_ACTIVE,uint,1
RTS36_ACTIVE,uint,1
RTS35_ACTIVE,uint,1
RTS34_ACTIVE,uint,1
RTS33_ACTIVE,uint,1
RTS32_ACTIVE,uint,1
RTS31_ACTIVE,uint,1
RTS30_ACTIVE,uint,1
RTS29_ACTIVE,uint,1
RTS28_ACTIVE,uint,1
RTS27_ACTIVE,uint,1
RTS26_ACTIVE,uint,1
RTS25_ACTIVE,uint,1
RTS24_ACTIVE,uint,1
RTS23_ACTIVE,uint,1
RTS22_ACTIVE,uint,1
RTS21_ACTIVE,uint,1
RTS20_ACTIVE,uint,1
RTS19_ACTIVE,uint,1
RTS18_ACTIVE,uint,1
RTS17_ACTIVE,uint,1
RTS16_ACTIVE,uint,1
RTS15_ACTIVE,uint,1
RTS14_ACTIVE,uint,1
RTS13_ACTIVE,uint,1
RTS12_ACTIVE,uint,1
RTS11_ACTIVE,uint,1
RTS10_ACTIVE,uint,1
RTS9_ACTIVE,uint,1
RTS8_ACTIVE,uint,1
RTS7_ACTIVE,uint,1
RTS6_ACTIVE,uint,1
RTS5_ACTIVE,uint,1
RTS4_ACTIVE,uint,1
RTS3_ACTIVE,uint,1
RTS2_ACTIVE,uint,1
RTS1_ACTIVE,uint,1
ATS2_ACTIVE,uint,1
ATS1_ACTIVE,uint,1
ATS1_NEXT_COMMAND,uint,16
ATS2_NEXT_COMMAND,uint,16
RTS1_NEXT_COMMAND,uint,8
RTS2_NEXT_COMMAND,uint,8
RTS3_NEXT_COMMAND,uint,8
RTS4_NEXT_COMMAND,uint,8
RTS5_NEXT_COMMAND,uint,8
RTS6_NEXT_COMMAND,uint,8
