Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity
2017-01-02,45.56,46.69,169.12,28.955,62.62,78.19,38.41,28.7633,117.13,102.95
2017-01-03,46.49,46.3,170.6,29.038,62.41,82.61,39.05,28.63,116.46,103.48
2017-01-04,47.1,46.7,172.0,29.005,63.29,84.66,39.36,28.8333,116.74,104.14
2017-01-05,46.54,45.89,171.88,29.153,63.77,83.68,39.7,28.54,114.99,105.91
2017-01-06,47.99,46.21,169.63,29.478,63.79,84.8,40.78,28.8233,116.3,108.3
2017-01-09,48.14,47.08,169.53,29.748,64.21,85.48,40.74,28.4067,115.0,108.57
2017-01-10,48.1,48.48,169.92,29.778,64.07,84.83,41.29,28.77,115.06,108.26
2017-01-11,49.25,48.64,173.43,29.938,61.14,81.53,41.08,28.7867,116.12,108.99
2017-01-12,48.52,48.1,174.47,29.813,61.28,83.86,40.72,29.05,115.78,108.59
2017-01-13,48.69,47.65,174.79,29.76,61.99,84.62,40.93,29.0067,116.95,108.53
2017-01-16,48.69,47.65,174.79,29.76,61.99,84.62,40.93,29.0067,116.95,108.53
2017-01-17,48.32,46.75,173.0,30.0,61.86,85.99,40.9,28.9167,116.03,108.0
2017-01-18,48.25,47.64,173.98,29.998,61.66,85.51,40.76,29.3567,115.95,108.79
2017-01-19,47.64,47.26,171.72,29.945,61.38,85.47,40.4,29.2267,115.5,109.79
2017-01-20,47.62,48.0,171.5,30.0,61.15,83.75,40.46,29.1633,115.07,110.71
2017-01-23,47.39,46.94,167.78,30.02,60.96,84.88,40.34,29.2267,114.82,110.97
2017-01-24,47.35,47.54,168.29,29.993,60.58,84.41,40.31,29.38,116.48,113.72
2017-01-25,48.41,47.91,167.5,30.47,61.38,85.83,40.31,29.56,117.57,114.25
2017-01-26,48.17,49.59,165.5,30.485,61.27,83.39,40.96,29.6667,115.93,112.88
2017-01-27,48.65,46.95,164.37,30.488,60.0,82.43,41.0,29.6567,115.35,113.99
2017-01-30,47.67,44.9,164.63,30.408,60.43,83.62,41.01,29.4733,114.63,113.82
2017-01-31,48.97,44.25,164.24,30.338,61.11,87.28,41.77,29.45,113.87,113.38
2017-02-01,49.26,44.05,160.59,32.188,60.89,88.61,42.33,29.6833,113.21,113.36
2017-02-02,48.9,44.01,162.34,32.133,60.89,88.05,42.75,29.98,113.64,113.16
2017-02-03,49.38,44.2,162.75,32.27,60.67,89.28,42.78,30.2133,114.49,115.17
2017-02-06,49.27,45.3,160.27,32.572,60.65,89.98,42.43,30.3867,114.18,114.46
2017-02-07,49.64,45.17,159.18,32.883,60.56,90.33,42.89,30.4333,115.92,114.96
2017-02-08,49.93,45.06,162.73,33.01,60.52,91.07,42.4,30.67,115.43,116.13
2017-02-09,50.47,46.3,164.83,33.105,60.84,91.65,42.54,30.9533,116.98,116.44
2017-02-10,50.36,46.45,164.05,33.03,60.42,91.17,42.74,30.9967,117.6,116.85
2017-02-13,50.52,47.41,162.39,33.323,60.51,90.48,43.22,31.07,118.59,117.65
2017-02-14,50.39,46.57,164.37,33.755,60.82,90.82,43.65,31.0,120.0,117.58
2017-02-15,51.62,47.54,163.88,33.878,61.65,91.18,44.0,31.03,119.93,118.73
2017-02-16,50.84,46.97,160.99,33.836,61.48,90.32,44.2,31.3467,120.72,118.93
2017-02-17,51.63,46.91,161.58,33.93,61.77,90.76,44.69,31.34,121.23,119.67
2017-02-20,51.63,46.91,161.58,33.93,61.77,90.76,44.69,31.34,121.23,119.67
2017-02-21,51.35,46.81,161.15,34.175,61.83,91.01,45.01,31.2167,122.1,119.63
2017-02-22,51.34,46.32,159.68,34.278,61.36,91.34,45.01,31.39,122.21,119.47
2017-02-23,51.47,46.1,157.72,34.133,61.94,91.61,45.4,31.52,122.48,118.83
2017-02-24,51.74,46.28,157.33,34.165,62.09,92.16,45.68,31.5133,123.43,119.31
2017-02-27,51.66,46.32,156.94,34.233,62.22,91.73,45.46,31.3667,122.79,118.78
2017-02-28,51.3,46.36,156.61,34.248,61.84,91.51,45.08,31.5233,122.5,118.34
2017-03-01,52.04,47.09,156.68,34.948,62.83,92.23,45.59,31.91,124.07,120.35
2017-03-02,51.38,45.72,157.36,34.74,63.25,91.94,45.69,31.5333,124.35,119.9
2017-03-03,51.98,46.82,155.35,34.945,63.34,92.23,45.25,31.5533,123.64,120.04
2017-03-06,51.25,45.31,154.25,34.835,63.55,89.99,45.13,31.36,123.24,120.15
2017-03-07,51.21,44.84,151.99,34.88,63.69,88.48,45.0,31.3267,124.14,119.98
2017-03-08,51.41,44.89,155.21,34.75,64.14,89.08,45.36,31.3133,124.46,119.6
2017-03-09,51.43,43.33,155.15,34.67,64.5,88.61,45.63,31.4,123.18,119.91
2017-03-10,52.15,43.9,153.97,34.785,65.88,88.31,45.72,31.6967,123.93,121.09
2017-03-13,52.45,42.37,154.35,34.8,65.85,89.14,45.53,31.7633,124.04,121.8
2017-03-14,52.21,41.21,153.71,34.748,65.67,88.81,44.8,31.6933,123.91,121.44
2017-03-15,54.1,42.09,152.92,35.115,66.55,89.48,45.32,31.88,124.8,122.11
2017-03-16,53.05,42.13,153.41,35.173,65.9,88.0,44.98,31.8333,124.1,122.35
2017-03-17,53.31,41.72,152.4,34.998,65.69,87.53,45.19,31.8667,125.22,127.01
2017-03-20,53.15,41.7,152.44,35.365,65.8,86.91,44.98,31.7333,124.39,126.31
2017-03-21,52.66,40.42,151.22,34.96,65.35,85.91,44.8,31.2033,124.64,125.07
2017-03-22,53.13,40.35,151.27,35.355,65.52,85.88,44.81,31.21,126.48,126.21
2017-03-23,53.18,41.41,150.78,35.23,65.65,85.99,44.77,31.2233,120.76,126.87
2017-03-24,53.08,41.73,149.73,35.16,65.62,86.56,44.73,31.07,118.98,127.7
2017-03-27,53.24,41.74,147.8,35.22,66.1,87.48,44.7,31.0967,119.39,128.25
2017-03-28,53.44,42.6,148.36,35.95,65.98,87.5,44.7,31.41,121.35,128.69
2017-03-29,53.12,41.96,149.67,36.03,65.77,89.51,44.67,31.4767,120.98,129.58
2017-03-30,53.32,42.54,148.67,35.983,65.46,89.14,44.55,31.7633,120.52,129.61
2017-03-31,52.87,42.3,148.26,35.915,65.16,88.5,44.41,31.59,119.88,130.13
2017-04-03,53.2,42.45,145.5,35.925,65.03,87.33,44.47,31.3967,117.64,129.59
2017-04-04,52.62,40.9,143.04,36.193,65.11,86.93,44.18,31.8867,118.04,130.04
2017-04-05,52.71,41.31,142.74,36.005,64.96,87.18,43.8,31.5867,117.64,129.89
2017-04-06,53.15,41.72,142.56,35.915,65.08,87.64,43.67,31.46,116.81,130.15
2017-04-07,52.84,41.81,142.05,35.835,65.54,87.62,43.83,31.2567,117.44,130.22
2017-04-10,52.72,42.32,142.84,35.793,64.97,88.44,43.59,31.4167,117.84,130.16
2017-04-11,52.83,43.93,143.46,35.408,64.18,87.87,43.58,31.5767,116.08,129.95
2017-04-12,52.55,43.96,141.74,35.45,64.37,86.82,43.48,31.3067,115.58,129.38
2017-04-13,52.33,43.35,140.89,35.263,64.13,86.67,42.67,31.0233,114.86,129.05
2017-04-14,52.33,43.35,140.89,35.263,64.13,86.67,42.67,31.0233,114.86,129.05
2017-04-17,53.46,44.23,140.84,35.458,64.31,86.64,43.31,31.5767,115.72,129.99
2017-04-18,53.03,43.81,140.91,35.3,63.65,82.56,43.43,31.5767,116.24,129.81
2017-04-19,53.07,44.4,142.42,35.17,63.45,81.85,43.59,31.7167,116.95,130.22
2017-04-20,53.13,45.22,146.56,35.61,63.78,82.37,43.98,31.71,119.21,131.42
2017-04-21,53.27,45.15,146.84,35.568,63.82,81.26,43.53,31.6633,119.23,131.52
2017-04-24,54.44,46.44,147.1,35.91,64.66,80.94,44.13,31.8733,119.36,132.89
2017-04-25,54.81,46.61,145.67,36.133,65.1,81.49,43.76,32.17,118.69,133.49
2017-04-26,54.83,46.4,145.78,35.92,65.04,81.25,43.8,32.5033,118.98,132.79
2017-04-27,55.43,43.98,143.19,35.948,66.07,82.12,43.65,32.6067,120.49,133.38
2017-04-28,55.05,42.62,142.14,35.913,65.94,82.05,43.64,32.3233,121.3,133.74
2017-05-01,55.8,42.08,140.53,36.645,66.48,82.49,43.48,32.33,121.25,135.11
2017-05-02,55.93,43.87,142.55,36.878,66.63,82.66,43.6,32.1633,120.68,135.0
2017-05-03,56.16,43.92,142.82,36.765,66.74,82.67,43.72,32.2067,120.3,134.85
2017-05-04,56.7,43.91,144.81,36.633,67.23,86.53,44.59,32.3967,120.82,134.61
2017-05-05,56.64,44.51,144.98,37.24,66.99,85.89,44.64,32.4067,121.52,134.84
2017-05-08,56.32,44.94,146.97,38.253,66.21,86.59,44.68,32.0867,121.11,135.12
2017-05-09,56.87,47.08,146.12,38.498,66.17,87.54,44.67,31.79,121.07,135.6
2017-05-10,56.27,47.3,146.16,38.315,65.98,88.14,44.5,31.8233,121.2,136.15
2017-05-11,56.23,46.54,145.95,38.488,65.3,88.86,43.86,31.7733,120.8,136.29
2017-05-12,56.16,45.83,145.02,39.025,66.06,88.75,43.96,31.73,120.96,136.84
2017-05-15,56.7,46.68,145.85,38.925,66.67,89.92,44.04,31.8933,122.25,137.6
2017-05-16,56.83,46.94,145.25,38.868,66.85,89.12,43.69,31.7667,123.14,138.03
2017-05-17,55.77,44.92,144.56,37.563,65.37,86.28,43.08,31.4767,120.44,134.33
2017-05-18,55.85,44.65,148.51,38.135,65.63,86.69,42.98,31.7533,120.4,134.54
2017-05-19,56.13,45.22,151.47,38.265,65.58,89.16,43.16,31.5933,120.98,136.43
2017-05-22,56.08,46.21,147.37,38.498,65.44,89.48,43.73,31.5033,122.71,138.86
2017-05-23,58.66,46.66,140.66,38.45,65.84,89.19,43.68,31.5967,122.15,139.52
2017-05-24,59.23,46.77,133.02,38.335,65.93,89.97,43.53,31.6867,121.95,141.12
2017-05-25,59.3,48.02,131.97,38.468,66.32,91.11,43.95,31.68,123.1,142.85
2017-05-26,59.51,48.74,134.16,38.403,66.06,91.0,44.71,31.85,122.89,141.89
2017-05-29,59.51,48.74,134.16,38.403,66.06,91.0,44.71,31.85,122.89,141.89
2017-05-30,60.37,47.96,132.99,38.418,66.02,91.03,45.0,31.66,123.77,142.41
2017-05-31,60.34,48.41,133.63,38.19,66.02,91.77,45.66,32.4167,124.47,141.86
2017-06-01,60.73,49.05,137.1,38.295,66.71,93.14,46.1,32.7433,125.29,141.38
2017-06-02,60.81,49.52,137.8,38.863,67.25,93.58,46.5,32.93,125.74,143.48
2017-06-05,60.4,49.74,135.57,38.483,67.51,93.32,46.62,32.7767,126.58,143.59
2017-06-06,60.1,49.74,131.3,38.613,67.87,91.69,46.36,32.38,126.33,143.03
2017-06-07,60.63,50.86,130.62,38.843,68.75,91.93,46.56,31.68,126.55,143.62
2017-06-08,60.15,51.43,125.92,38.748,68.76,91.57,46.72,31.5867,126.17,142.63
2017-06-09,59.21,50.27,128.36,37.245,69.67,92.1,47.29,30.9333,125.82,138.05
2017-06-12,58.99,49.48,130.95,36.355,69.53,92.36,47.17,31.1533,126.3,137.25
2017-06-13,59.28,49.45,131.63,36.648,69.67,93.0,47.46,31.3033,127.07,139.09
2017-06-14,59.38,49.39,130.59,36.29,70.52,93.9,47.64,31.4167,127.25,138.25
2017-06-15,59.21,49.11,131.15,36.073,70.6,94.43,48.12,31.4367,127.03,137.52
2017-06-16,59.51,48.79,130.16,35.568,71.05,92.53,48.21,31.4767,127.56,137.84
2017-06-19,60.55,49.66,129.6,36.585,71.34,93.75,48.89,31.5667,127.77,140.35
2017-06-20,60.33,48.03,123.58,36.253,71.22,93.25,48.77,31.5067,126.53,140.91
2017-06-21,59.79,48.43,120.11,36.468,71.34,95.62,48.57,31.44,127.11,144.24
2017-06-22,60.61,48.97,120.7,36.408,73.18,96.37,49.27,31.0133,122.08,143.69
2017-06-23,59.77,48.63,119.74,36.57,72.64,95.82,49.08,30.98,122.74,145.41
2017-06-26,59.24,48.78,121.79,36.455,72.74,95.99,48.91,30.9667,122.34,144.96
2017-06-27,58.88,48.5,121.96,35.933,72.39,95.53,48.67,30.9933,122.19,142.54
2017-06-28,59.4,49.25,116.71,36.458,72.92,96.38,48.48,31.4467,123.74,143.81
2017-06-29,58.8,49.62,116.05,35.92,72.48,95.76,48.73,31.39,122.99,141.24
2017-06-30,59.31,50.32,116.59,36.005,72.51,94.53,48.61,31.0967,123.68,141.44
2017-07-03,59.13,50.39,118.41,35.875,72.42,94.7,48.71,31.56,123.93,138.41
2017-07-04,59.13,50.39,118.41,35.875,72.42,94.7,48.71,31.56,123.93,138.41
2017-07-05,59.77,51.26,105.21,36.023,72.48,95.22,49.0,31.7367,124.05,141.21
2017-07-06,59.22,52.05,103.16,35.683,71.73,92.51,47.94,31.4033,122.94,140.75
2017-07-07,59.63,53.03,101.93,36.045,72.03,93.91,48.44,31.7433,124.21,142.22
2017-07-10,59.86,52.66,101.17,36.265,71.83,92.49,48.23,31.8233,124.06,143.34
2017-07-11,59.8,51.61,100.25,36.383,71.84,92.18,48.15,31.9333,123.85,142.93
2017-07-12,60.73,53.8,100.94,36.435,71.88,93.21,48.43,32.0567,125.47,145.91
2017-07-13,61.19,53.81,103.22,36.943,72.63,92.86,48.08,32.1,125.73,145.05
2017-07-14,61.52,54.22,102.04,37.26,73.11,92.96,48.91,32.0533,126.7,146.16
2017-07-17,61.55,53.87,101.74,37.39,72.7,92.71,48.76,32.18,126.42,146.4
2017-07-18,61.21,53.15,100.3,37.52,72.23,91.37,48.74,32.2633,127.37,147.89
2017-07-19,61.38,52.61,100.87,37.755,72.77,91.17,49.43,32.4833,127.78,148.92
2017-07-20,60.98,52.34,103.23,37.585,74.01,91.95,50.85,32.6633,128.54,149.94
2017-07-21,61.37,51.91,105.27,37.568,74.63,91.62,50.84,32.8333,128.85,149.52
2017-07-24,61.5,51.28,103.17,38.023,73.91,93.13,50.8,32.83,128.01,149.53
2017-07-25,60.54,50.61,105.29,38.185,72.52,94.65,50.83,33.04,128.95,148.21
2017-07-26,59.72,51.01,106.7,38.365,72.59,94.21,50.4,33.01,129.51,149.78
2017-07-27,59.91,50.0,110.34,37.64,71.73,92.78,50.11,31.5367,128.16,146.2
2017-07-28,60.08,50.49,110.21,37.375,70.44,93.97,49.61,31.97,128.4,146.73
2017-07-31,59.79,50.44,112.01,37.183,69.91,93.82,49.18,32.42,128.82,146.49
2017-08-01,59.94,51.06,114.05,37.513,70.38,92.98,49.15,32.53,129.86,147.36
2017-08-02,60.2,50.45,114.48,39.285,70.71,91.27,49.23,32.6267,128.62,147.13
2017-08-03,60.37,50.55,110.53,38.893,70.99,81.71,49.16,32.5667,130.02,147.79
2017-08-04,60.13,50.8,111.01,39.098,70.99,80.83,49.26,32.6833,130.2,147.71
2017-08-07,60.87,50.58,109.49,39.703,71.22,80.58,49.3,32.4233,129.68,148.44
2017-08-08,60.14,50.0,109.39,40.02,71.47,80.33,48.88,32.42,129.13,147.81
2017-08-09,59.68,49.4,109.18,40.265,72.02,79.8,48.77,32.3133,129.62,148.35
2017-08-10,58.57,48.55,106.13,38.83,70.44,78.88,48.06,32.1767,128.24,144.92
2017-08-11,59.33,48.35,107.34,39.37,70.63,80.02,48.54,32.0467,128.2,146.47
2017-08-14,59.62,48.81,109.32,39.963,70.82,80.08,49.08,32.22,129.69,149.16
2017-08-15,59.38,48.52,87.08,40.4,70.34,80.0,48.82,32.3067,129.38,150.36
2017-08-16,62.14,48.41,91.51,40.238,70.42,80.03,49.81,32.22,130.03,151.8
2017-08-17,60.86,46.03,92.85,39.465,69.85,79.94,49.29,32.1267,127.59,148.23
2017-08-18,61.25,45.55,93.26,39.375,69.96,78.6,48.74,32.0567,127.44,147.97
