a
ai
ao
an
ang
e
ei
en
eng
erh
o
ou
i
pa
pai
pao
pan
pang
pei
pen
peng
po
pi
piao
pieh
pien
pin
ping
pu
p'a
p'ai
p'ao
p'an
p'ang
p'ei
p'en
p'eng
p'o
p'ou
p'i
p'iao
p'ieh
p'ien
p'in
p'ing
p'u
ma
mai
mao
man
mang
me
mei
men
meng
mo
mou
mi
miao
mieh
mien
miu
min
ming
mu
fa
fan
fang
fei
fen
feng
fo
fou
fu
ta
tai
tao
tan
tang
te
tei
ten
teng
to
tou
ti
tia
tiao
tieh
tien
tiu
ting
tu
tui
tun
tuan
tung
t'a
t'ai
t'ao
t'an
t'ang
t'e
t'ei
t'eng
t'o
t'ou
t'i
t'iao
t'ieh
t'ien
t'ing
t'u
t'ui
t'un
t'uan
t'ung
na
nai
nao
nan
nang
ne
nei
nen
neng
no
nou
ni
niao
nieh
nien
niu
niang
nin
ning
nu
nun
nuan
nung
nü
nüeh
la
lai
lao
lan
lang
le
lei
leng
lo
lou
li
lia
liao
lieh
lien
liu
liang
lin
ling
lu
lun
luan
lung
lü
lüeh
lüan
ka
kai
kao
kan
kang
kei
ken
keng
ko
kou
ku
kua
kuo
kun
kuei
kuai
kuan
kuang
kung
k'a
k'ai
k'ao
k'an
k'ang
k'en
k'eng
k'o
k'ou
k'u
k'ua
k'uo
k'un
k'uei
k'uai
k'uan
k'uang
k'ung
ha
hai
hao
han
hang
hei
hen
heng
ho
hou
hu
hua
huo
hui
hun
huai
huan
huang
hung
cha
chai
chao
chan
chang
che
chei
chen
cheng
cho
chou
chi
chia
chiao
chieh
chien
chiu
chiung
chiang
chin
ching
chih
chu
chua
chui
chun
chuai
chuan
chuang
chung
chü
chüeh
chüan
chün
ch'a
ch'ai
ch'ao
ch'an
ch'ang
ch'e
ch'en
ch'eng
ch'o
ch'ou
ch'i
ch'ia
ch'iao
ch'ieh
ch'ien
ch'iu
ch'iung
ch'iang
ch'in
ch'ing
ch'ih
ch'u
ch'ua
ch'ui
ch'un
ch'uai
ch'uan
ch'uang
ch'ung
ch'ü
ch'üeh
ch'üan
ch'ün
hsi
hsia
hsiao
hsieh
hsien
hsiu
hsiung
hsiang
hsin
hsing
hsü
hsüeh
hsüan
hsün
sha
shai
shao
shan
shang
she
shei
shen
sheng
shou
shih
shu
shua
shui
shun
shuai
shuan
shuang
jao
jan
jang
je
jen
jeng
jo
jou
jih
ju
jua
jui
jun
juan
jung
tsa
tsai
tsao
tsan
tsang
tse
tsei
tsen
tseng
tso
tsou
tsu
tsui
tsun
tsuan
tsung
ts'a
ts'ai
ts'ao
ts'an
ts'ang
ts'e
ts'en
ts'eng
ts'o
ts'ou
ts'u
ts'ui
ts'un
ts'uan
ts'ung
sa
sai
sao
san
sang
se
sen
seng
so
sou
su
sui
sun
suan
sung
tzu
tz'u
ssu
wa
wai
wan
wang
wei
wen
weng
wo
wu
ya
yai
yao
yang
yeh
yen
yi
yin
ying
yu
yung
yü
yüeh
yüan
yün
