body-oc<2.1,>=2.0.1
config-oc<1.2,>=1.1.0
define-oc<1.1,>=1.0.1
email-smtp<1.1,>=1.0.1
google-api-python-client>=2.118.0
google-auth-oauthlib<1.3,>=1.2.0
jsonb<1.1,>=1.0.0
namedredis<1.1,>=1.0.2
requests<2.33,>=2.32.3
rest_mysql<1.1,>=1.0.2
strings-oc<1.1,>=1.0.7
tools-oc<1.3,>=1.2.4
undefined-oc<1.1,>=1.0.0
upgrade-oc<1.1,>=1.0.2
